date,open,high,low,close,volume
2016-09-26,213.17999267578125,215.0800018310547,212.5,214.75999450683594,1073800.0
2016-09-27,215.55999755859375,215.55999755859375,212.63999938964844,212.92999267578125,935500.0
2016-09-28,212.99000549316406,213.72999572753906,210.6699981689453,212.61000061035156,1149600.0
2016-09-29,211.7100067138672,211.99000549316406,207.1999969482422,207.5800018310547,1362700.0
2016-09-30,209.33999633789062,209.88999938964844,206.97999572753906,207.00999450683594,1697200.0
2016-10-03,206.2899932861328,206.2899932861328,200.89999389648438,201.83999633789062,2024100.0
2016-10-04,201.52999877929688,202.32000732421875,197.38999938964844,198.8699951171875,1894600.0
2016-10-05,199.36000061035156,201.0,194.67999267578125,195.72000122070312,1612300.0
2016-10-06,195.36000061035156,198.60000610351562,192.64999389648438,196.47999572753906,1364700.0
2016-10-07,197.63999938964844,200.3000030517578,195.82000732421875,196.80999755859375,1427000.0
2016-10-10,196.97000122070312,198.8300018310547,196.85000610351562,197.5,699000.0
2016-10-11,197.5,198.19000244140625,194.82000732421875,195.5500030517578,959400.0
2016-10-12,196.0800018310547,199.0500030517578,195.58999633789062,198.9199981689453,1206700.0
2016-10-13,197.8300018310547,199.22000122070312,196.91000366210938,198.7899932861328,1226300.0
2016-10-14,199.0500030517578,199.85000610351562,196.99000549316406,196.99000549316406,1056400.0
2016-10-17,197.25,198.3000030517578,196.22999572753906,197.49000549316406,1014500.0
2016-10-18,198.44000244140625,199.69000244140625,197.82000732421875,198.44000244140625,855900.0
2016-10-19,198.3300018310547,198.74000549316406,195.10000610351562,198.4600067138672,1409700.0
2016-10-20,199.0,199.13999938964844,196.32000732421875,197.25999450683594,1241800.0
2016-10-21,195.7899932861328,196.89999389648438,195.0399932861328,196.5500030517578,872100.0
2016-10-24,197.67999267578125,199.19000244140625,196.0,197.00999450683594,1030400.0
2016-10-25,196.33999633789062,197.6999969482422,195.82000732421875,197.27000427246094,1035700.0
2016-10-26,195.11000061035156,196.07000732421875,187.47999572753906,188.3800048828125,2676100.0
2016-10-27,188.14999389648438,188.16000366210938,181.85000610351562,183.22999572753906,3726600.0
2016-10-28,184.22999572753906,186.02999877929688,182.02999877929688,182.8800048828125,1694000.0
2016-10-31,184.27000427246094,186.3300018310547,182.8800048828125,185.9600067138672,1932800.0
2016-11-01,184.99000549316406,185.47999572753906,181.63999938964844,183.25,1861200.0
2016-11-02,183.61000061035156,184.22000122070312,179.64999389648438,179.67999267578125,1662400.0
