date,open,high,low,close,volume
2016-09-26,116.25,116.69999694824219,115.63999938964844,115.88999938964844,305400.0
2016-09-27,115.61000061035156,117.37000274658203,114.37999725341797,114.43000030517578,319900.0
2016-09-28,115.13999938964844,117.20999908447266,114.1500015258789,115.12000274658203,230900.0
2016-09-29,114.5,115.48999786376953,111.62000274658203,111.63999938964844,343000.0
2016-09-30,112.62999725341797,114.5999984741211,111.54000091552734,113.79000091552734,275400.0
2016-10-03,113.05000305175781,113.69000244140625,111.77999877929688,111.86000061035156,335000.0
2016-10-04,112.13999938964844,113.81999969482422,110.58000183105469,111.05999755859375,284300.0
2016-10-05,111.95999908447266,112.25,110.43000030517578,110.5,298900.0
2016-10-06,110.0,110.75,107.9000015258789,110.37000274658203,363100.0
2016-10-07,110.5199966430664,111.31999969482422,105.80999755859375,105.8499984741211,408600.0
2016-10-10,105.8499984741211,106.56999969482422,104.54000091552734,104.56999969482422,358000.0
2016-10-11,103.97000122070312,104.5199966430664,100.94000244140625,100.9800033569336,541600.0
2016-10-12,100.97000122070312,103.58000183105469,100.97000122070312,103.30000305175781,670000.0
2016-10-13,101.75,104.20999908447266,101.62999725341797,102.13999938964844,537600.0
2016-10-14,102.94999694824219,102.94999694824219,100.0199966430664,100.69999694824219,318100.0
2016-10-17,100.72000122070312,101.19999694824219,100.13999938964844,100.94000244140625,356900.0
2016-10-18,102.45999908447266,108.05000305175781,100.55999755859375,101.16999816894531,255500.0
2016-10-19,102.0999984741211,103.30000305175781,101.11000061035156,103.0199966430664,395100.0
2016-10-20,102.79000091552734,103.41000366210938,100.77999877929688,101.87999725341797,302900.0
2016-10-21,101.20999908447266,102.18000030517578,100.38999938964844,102.05999755859375,245800.0
2016-10-24,104.98999786376953,104.98999786376953,103.27999877929688,104.30000305175781,256100.0
2016-10-25,104.12999725341797,104.30999755859375,102.36000061035156,102.69000244140625,287600.0
2016-10-26,101.76000213623047,102.37999725341797,100.81999969482422,101.48999786376953,191300.0
2016-10-27,102.05999755859375,102.48999786376953,97.94999694824219,98.0999984741211,425200.0
2016-10-28,98.36000061035156,98.83000183105469,95.22000122070312,96.44999694824219,302600.0
