date,open,high,low,close,volume
2016-09-26,258.5400085449219,261.0400085449219,257.8999938964844,258.30999755859375,245800.0
2016-09-27,259.260009765625,263.3999938964844,258.2699890136719,262.07000732421875,242600.0
2016-09-28,262.3599853515625,263.3399963378906,259.760009765625,262.8399963378906,192900.0
2016-09-29,262.2699890136719,263.8800048828125,259.42999267578125,260.4100036621094,208300.0
2016-09-30,262.82000732421875,266.1199951171875,258.7699890136719,264.6000061035156,456900.0
2016-10-03,264.6000061035156,267.0799865722656,262.25,263.5199890136719,272500.0
2016-10-04,262.8800048828125,264.20001220703125,253.69000244140625,255.0,613200.0
2016-10-05,234.6199951171875,249.6999969482422,228.8000030517578,242.99000549316406,2595500.0
2016-10-06,240.97999572753906,245.77000427246094,239.24000549316406,243.97000122070312,916800.0
2016-10-07,243.47999572753906,245.0399932861328,240.41000366210938,240.74000549316406,707900.0
2016-10-10,240.92999267578125,243.80999755859375,240.77999877929688,243.7899932861328,556500.0
2016-10-11,243.5399932861328,244.6999969482422,239.22999572753906,240.08999633789062,652900.0
2016-10-12,240.00999450683594,245.10000610351562,238.69000244140625,244.64999389648438,460900.0
2016-10-13,242.9199981689453,246.3000030517578,242.00999450683594,244.7100067138672,390300.0
2016-10-14,246.5800018310547,250.85000610351562,246.5800018310547,248.02000427246094,540600.0
2016-10-17,247.35000610351562,247.83999633789062,241.9600067138672,242.14999389648438,445600.0
2016-10-18,245.25999450683594,246.8699951171875,242.64999389648438,246.47999572753906,360000.0
2016-10-19,245.9199981689453,245.9199981689453,242.2100067138672,243.05999755859375,387000.0
2016-10-20,242.69000244140625,243.1999969482422,241.47000122070312,242.14999389648438,254700.0
2016-10-21,239.3800048828125,240.57000732421875,238.4499969482422,239.8300018310547,368800.0
2016-10-24,240.55999755859375,242.47999572753906,237.8800048828125,239.75999450683594,655600.0
2016-10-25,238.10000610351562,238.8000030517578,233.3300018310547,233.88999938964844,526100.0
2016-10-26,233.32000732421875,233.97999572753906,229.22000122070312,231.33999633789062,379800.0
2016-10-27,231.42999267578125,231.5399932861328,225.4199981689453,225.83999633789062,567200.0
2016-10-28,225.88999938964844,228.3800048828125,222.50999450683594,223.10000610351562,585700.0
2016-10-31,225.00999450683594,226.07000732421875,223.39999389648438,223.57000732421875,665100.0
2016-11-01,223.1699981689453,224.8800048828125,219.6699981689453,220.60000610351562,764900.0
2016-11-02,220.0,222.67999267578125,217.2899932861328,217.3699951171875,394500.0
2016-11-03,218.16000366210938,220.5500030517578,216.88999938964844,219.22999572753906,376200.0
2016-11-04,220.47999572753906,227.55999755859375,220.14999389648438,226.32000732421875,578300.0
2016-11-07,231.27000427246094,233.0,225.61000061035156,226.64999389648438,472300.0
2016-11-08,225.32000732421875,232.6999969482422,224.42999267578125,231.11000061035156,420100.0
2016-11-09,228.07000732421875,244.74000549316406,228.07000732421875,241.64999389648438,943400.0
2016-11-10,242.44000244140625,258.3299865722656,242.44000244140625,254.94000244140625,1195500.0
2016-11-11,253.4499969482422,254.9199981689453,249.14999389648438,253.55999755859375,676100.0
2016-11-14,254.0,257.3500061035156,252.52999877929688,256.17999267578125,692300.0
2016-11-15,256.3699951171875,259.4599914550781,254.2100067138672,258.6499938964844,639300.0
2016-11-16,257.2699890136719,261.42999267578125,254.42999267578125,256.5299987792969,607300.0
2016-11-17,257.0199890136719,257.9700012207031,251.1999969482422,251.72999572753906,315500.0
2016-11-18,251.1300048828125,252.33999633789062,246.9199981689453,248.9600067138672,406800.0
2016-11-21,249.89999389648438,251.86000061035156,248.99000549316406,251.5500030517578,428700.0
2016-11-22,253.11000061035156,253.91000366210938,248.61000061035156,253.6300048828125,444000.0
2016-11-23,254.0,254.8699951171875,252.00999450683594,254.77999877929688,315000.0
2016-11-25,255.0,257.94000244140625,254.66000366210938,257.5299987792969,159200.0
2016-11-28,255.85000610351562,256.80999755859375,249.42999267578125,250.77999877929688,446300.0
2016-11-29,250.77000427246094,253.8000030517578,250.77000427246094,252.16000366210938,427700.0
2016-11-30,252.97999572753906,253.97000122070312,251.0,251.41000366210938,376300.0
2016-12-01,252.0,255.4499969482422,250.1300048828125,251.4600067138672,339700.0
2016-12-02,251.72999572753906,251.75,249.69000244140625,249.99000549316406,507700.0
2016-12-05,250.67999267578125,253.52999877929688,250.02999877929688,252.32000732421875,456800.0
2016-12-06,252.72999572753906,253.72000122070312,250.49000549316406,251.85000610351562,305300.0
2016-12-07,251.89999389648438,254.5500030517578,249.63999938964844,254.25999450683594,387300.0
2016-12-08,250.49000549316406,252.1699981689453,246.47999572753906,246.77000427246094,561600.0
2016-12-09,246.17999267578125,251.77999877929688,245.67999267578125,248.8300018310547,499900.0
2016-12-12,247.83999633789062,248.9199981689453,245.0,248.32000732421875,512700.0
2016-12-13,247.64999389648438,249.88999938964844,246.94000244140625,249.33999633789062,340800.0
2016-12-14,248.8800048828125,250.13999938964844,243.89999389648438,244.11000061035156,380000.0
2016-12-15,243.27000427246094,246.30999755859375,243.27000427246094,243.8300018310547,344700.0
2016-12-16,244.02999877929688,249.72000122070312,244.02999877929688,248.16000366210938,603700.0
2016-12-19,248.0,249.14999389648438,244.3699951171875,245.57000732421875,357800.0
2016-12-20,241.5399932861328,241.5399932861328,229.36000061035156,231.72000122070312,1039100.0
2016-12-21,230.86000061035156,233.00999450683594,228.07000732421875,230.33999633789062,918400.0
2016-12-22,230.2100067138672,234.66000366210938,230.2100067138672,232.3000030517578,491700.0
2016-12-23,232.69000244140625,236.7100067138672,232.69000244140625,234.9199981689453,327700.0
2016-12-27,235.00999450683594,236.4199981689453,234.25999450683594,235.58999633789062,220500.0
2016-12-28,236.42999267578125,236.80999755859375,230.47000122070312,230.8000030517578,311000.0
2016-12-29,230.0,232.83999633789062,229.3300018310547,232.7899932861328,321500.0
2016-12-30,233.69000244140625,234.1199951171875,229.94000244140625,230.86000061035156,388000.0
2017-01-03,232.88999938964844,237.75999450683594,230.9600067138672,234.19000244140625,689800.0
2017-01-04,234.25,241.35000610351562,234.25,239.92999267578125,764800.0
2017-01-05,239.86000061035156,241.60000610351562,235.44000244140625,238.6699981689453,433200.0
2017-01-06,239.42999267578125,241.02000427246094,236.4199981689453,237.36000061035156,610300.0
2017-01-09,208.33999633789062,212.69000244140625,193.05999755859375,202.50999450683594,4742800.0
2017-01-10,206.85000610351562,210.55999755859375,206.02999877929688,208.94000244140625,1698200.0
2017-01-11,208.25999450683594,210.32000732421875,207.3800048828125,210.32000732421875,717500.0
2017-01-12,209.97999572753906,215.77000427246094,208.0,214.97999572753906,898200.0
2017-01-13,215.5399932861328,216.69000244140625,211.50999450683594,215.17999267578125,968000.0
2017-01-17,214.22000122070312,214.22000122070312,208.86000061035156,210.75,1169900.0
2017-01-18,210.1300048828125,210.91000366210938,205.92999267578125,206.27999877929688,946700.0
2017-01-19,206.0800018310547,207.0,202.8000030517578,206.4499969482422,746500.0
2017-01-20,208.8000030517578,209.97999572753906,206.8300018310547,207.86000061035156,537800.0
2017-01-23,207.17999267578125,208.91000366210938,205.94000244140625,207.3699951171875,496800.0
2017-01-24,208.0,210.35000610351562,207.02000427246094,208.89999389648438,617200.0
2017-01-25,211.0,212.3000030517578,208.52999877929688,210.72000122070312,705000.0
2017-01-26,210.94000244140625,213.2100067138672,210.2100067138672,212.02000427246094,770000.0
2017-01-27,208.52000427246094,212.0,203.30999755859375,205.36000061035156,2340800.0
2017-01-30,204.85000610351562,204.9199981689453,199.64999389648438,204.85000610351562,1131300.0
2017-01-31,204.72999572753906,208.50999450683594,203.30999755859375,207.22999572753906,603200.0
2017-02-01,206.67999267578125,209.2100067138672,204.9199981689453,206.11000061035156,1045800.0
2017-02-02,204.9499969482422,206.69000244140625,203.58999633789062,206.07000732421875,723400.0
2017-02-03,207.64999389648438,208.88999938964844,205.63999938964844,206.35000610351562,352900.0
2017-02-06,205.25,207.07000732421875,203.97000122070312,206.83999633789062,322900.0
2017-02-07,207.33999633789062,207.39999389648438,205.47000122070312,206.69000244140625,367400.0
